food_id,food_name,description,cuisine,meal_type,diet_type,health_goal,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,serving_size,budget,ingredients,allergens,health_score,recommendation_tags
526,dungeness crab raw,dungeness crab raw is a lunch food suitable for muscle gain.,Continental,Lunch,Vegan,Muscle Gain,140.0,28.4,1.2,1.6,0.0,0.0,0.5,100 g,Medium,See recipe,None,99,"High Protein, Low Fat, Low Carb, Heart Healthy"
527,shrimp fried,shrimp fried is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Non-Veg,Weight Loss,52.0,1.3,4.8,3.2,0.1,0.086,0.2,100 g,Medium,See recipe,Seafood,97,"Low Fat, Low Carb, Heart Healthy"
528,shrimp raw,shrimp raw is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Non-Veg,Weight Loss,4.0,0.7,0.041,0.023,0.0,0.0,0.083,100 g,Medium,See recipe,Seafood,99,"Low Fat, Low Carb, Heart Healthy"
529,blue crab cooked,blue crab cooked is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,71.0,15.2,0.0,0.6,0.0,0.0,0.3,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
530,shrimp imitation,shrimp imitation is a lunch food suitable for weight loss.,Continental,Lunch,Non-Veg,Weight Loss,29.0,3.5,2.6,0.4,0.0,0.0,0.2,100 g,Medium,See recipe,Seafood,99,"Low Fat, Low Carb, Heart Healthy"
531,conch baked,conch baked is a nutritious lunch option that can support muscle gain when included as part of a balanced diet.,Continental,Lunch,Vegan,Muscle Gain,165.0,33.4,2.2,1.5,0.0,0.0,0.2,100 g,Medium,See recipe,None,99,"High Protein, Low Fat, Low Carb, Heart Healthy"
532,squid raw,squid raw is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,26.0,4.4,0.9,0.4,0.0,0.0,0.09,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
533,scallop raw,scallop raw is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,10.0,1.8,0.5,0.091,0.0,0.0,0.057,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
534,lobster raw,lobster raw is a nutritious lunch option that can support muscle gain when included as part of a balanced diet.,Continental,Lunch,Vegan,Muscle Gain,116.0,24.8,0.0,1.1,0.0,0.0,0.6,100 g,Medium,See recipe,None,99,"High Protein, Low Fat, Low Carb, Heart Healthy"
535,scallop imitation,scallop imitation is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,28.0,3.6,3.0,0.1,0.0,0.0,0.2,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
536,blue crab raw,blue crab raw is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,18.0,3.8,0.018,0.2,0.0,0.0,0.079,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
537,whelk raw,whelk raw is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,39.0,6.7,2.2,0.1,0.0,0.0,0.073,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
538,spiny lobster raw,spiny lobster raw is a lunch food suitable for muscle gain.,Continental,Lunch,Vegan,Muscle Gain,234.0,43.1,5.1,3.2,0.0,0.0,0.4,100 g,Medium,See recipe,None,99,"High Protein, Low Fat, Low Carb, Heart Healthy"
539,clams canned,clams canned is a nutritious lunch option that can support muscle gain when included as part of a balanced diet.,Continental,Lunch,Vegan,Muscle Gain,227.0,38.8,9.4,2.5,0.0,0.0,0.2,100 g,Medium,See recipe,None,99,"High Protein, Low Fat, Low Carb, Heart Healthy"
540,lobster cooked,lobster cooked is a nutritious lunch option that can support muscle gain when included as part of a balanced diet.,Continental,Lunch,Vegan,Muscle Gain,134.0,28.5,0.0,1.3,0.0,0.0,0.7,100 g,Medium,See recipe,None,99,"High Protein, Low Fat, Low Carb, Heart Healthy"
541,eastern oyster fried,eastern oyster fried is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,29.0,1.3,1.7,1.8,0.0,0.0,0.015,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
542,clams raw,clams raw is a nutritious lunch option that can support muscle gain when included as part of a balanced diet.,Continental,Lunch,Vegan,Muscle Gain,195.0,33.3,8.1,2.2,0.0,0.0,1.4,100 g,Medium,See recipe,None,99,"High Protein, Low Fat, Low Carb, Heart Healthy"
543,octopus cooked,octopus cooked is a nutritious lunch option that can support muscle gain when included as part of a balanced diet.,Continental,Lunch,Vegan,Muscle Gain,139.0,25.3,3.7,1.8,0.0,0.0,0.4,100 g,Medium,See recipe,None,99,"High Protein, Low Fat, Low Carb, Heart Healthy"
544,eastern oyster raw,eastern oyster raw is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,8.0,0.7,0.8,0.2,0.0,0.0,0.021,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
545,oyster fried,oyster fried is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,61.0,2.1,6.7,3.0,0.0,0.0,0.1,100 g,Medium,See recipe,None,97,"Low Fat, Low Carb, Heart Healthy"
546,sturgeon smoked,sturgeon smoked is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,49.0,8.8,0.0,1.2,0.0,0.0,0.2,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
547,chinook salmon smoked,chinook salmon smoked is a lunch food suitable for muscle gain.,Continental,Lunch,Non-Veg,Muscle Gain,159.0,24.9,0.0,5.9,0.0,0.0,1.1,100 g,Medium,See recipe,Seafood,99,"High Protein, Low Carb, Heart Healthy"
548,cisco smoked,cisco smoked is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,50.0,4.6,0.0,3.4,0.0,0.0,0.1,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
549,haddock smoked,haddock smoked is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,33.0,7.1,0.0,0.3,0.0,0.0,0.2,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
550,whitefish smoked,whitefish smoked is a lunch food suitable for muscle gain.,Continental,Lunch,Non-Veg,Muscle Gain,147.0,31.8,0.0,1.3,0.0,0.0,1.4,100 g,Medium,"Fish, Herbs",Seafood,99,"High Protein, Low Fat, Low Carb, Heart Healthy"
551,red salmon sockeye filets smoked,red salmon sockeye filets smoked is a lunch food suitable for muscle gain.,Continental,Lunch,Non-Veg,Muscle Gain,373.0,65.5,0.0,12.3,0.0,0.0,0.065,100 g,Medium,See recipe,Seafood,99,"High Protein, Low Carb, Heart Healthy"
552,eggnog,eggnog is a nutritious lunch option that can support maintain weight when included as part of a balanced diet.,Continental,Lunch,Non-Veg,Maintain Weight,224.0,11.6,20.4,10.6,0.0,20.4,0.1,100 g,Medium,Egg,Eggs,92,Heart Healthy
553,beer light,beer light is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,96.0,0.8,5.4,0.0,0.0,0.3,0.095,100 g,Medium,See recipe,None,96,"Low Fat, Low Carb, Heart Healthy"
554,beer budweiser,beer budweiser is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,12.0,0.1,0.9,0.0,0.0,0.0,0.095,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
555,weizenbier erdinger,weizenbier erdinger is a lunch food suitable for maintain weight.,Continental,Lunch,Vegan,Maintain Weight,220.0,0.0,0.0,18.0,0.0,0.0,0.0,100 g,Medium,See recipe,None,78,Low Carb
556,beer light budweiser,beer light budweiser is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,9.0,0.066,0.4,0.0,0.0,0.0,0.016,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
557,beer,beer is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,142.0,1.5,11.7,0.0,0.0,0.0,0.067,100 g,Medium,See recipe,None,94,"Low Fat, Low Carb, Heart Healthy"
558,root beer,root beer is a nutritious lunch option that can support maintain weight when included as part of a balanced diet.,Continental,Lunch,Vegan,Maintain Weight,202.0,0.0,52.3,0.0,0.0,52.3,0.068,100 g,Medium,See recipe,None,90,"Low Fat, Heart Healthy"
559,whiskey sour mix,whiskey sour mix is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,26.0,0.051,6.3,0.072,0.0,6.3,0.073,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
560,whiskey sour,whiskey sour is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,158.0,0.0,13.9,0.0,0.0,0.0,0.067,100 g,Medium,See recipe,None,92,"Low Fat, Low Carb, Heart Healthy"
561,tequila sunrise,tequila sunrise is a nutritious lunch option that can support maintain weight when included as part of a balanced diet.,Continental,Lunch,Vegan,Maintain Weight,232.0,0.6,23.8,0.2,0.0,0.0,0.1,100 g,Medium,See recipe,None,89,Low Fat
562,daiquiri,daiquiri is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,112.0,0.035,4.2,0.036,0.001,3.3,0.008,100 g,Medium,See recipe,None,94,"Low Fat, Low Carb, Heart Healthy"
563,pina colada,pina colada is a nutritious lunch option that can support maintain weight when included as part of a balanced diet.,Continental,Lunch,Vegan,Maintain Weight,245.0,0.6,32.0,2.7,0.4,31.5,0.089,100 g,Medium,See recipe,None,87,Low Fat
564,whiskey,whiskey is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,58.0,0.0,0.1,0.0,0.0,0.078,0.0,100 g,Medium,See recipe,None,97,"Low Fat, Low Carb, Heart Healthy"
565,rum,rum is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,49.0,0.0,0.0,0.0,0.0,0.0,0.053,100 g,Medium,See recipe,None,98,"Low Fat, Low Carb, Heart Healthy"
566,vodka smirnoff,vodka smirnoff is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,13.0,0.0,2.0,0.4,0.0,0.082,0.0,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
567,coffee liqueur,coffee liqueur is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,96.0,0.041,13.8,0.038,0.0,13.7,0.093,100 g,Medium,See recipe,None,95,"Low Fat, Low Carb, Heart Healthy"
568,gin,gin is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,53.0,0.0,0.0,0.0,0.0,0.0,0.029,100 g,Medium,See recipe,None,97,"Low Fat, Low Carb, Heart Healthy"
569,dessert wine sweet,dessert wine sweet is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,165.0,0.2,14.1,0.0,0.0,8.0,0.047,100 g,Medium,See recipe,None,92,"Low Fat, Low Carb, Heart Healthy"
570,chenin blanc white wine,chenin blanc white wine is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,118.0,0.1,4.9,0.0,0.0,0.0,0.0,100 g,Medium,See recipe,None,94,"Low Fat, Low Carb, Heart Healthy"
571,gamay red wine,gamay red wine is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,115.0,0.1,3.5,0.0,14.4,0.0,0.0,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, High Fiber, Heart Healthy"
572,late harvest white wine,late harvest white wine is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,172.0,0.1,20.6,0.0,13.1,0.0,0.0,100 g,Medium,See recipe,None,99,"Low Fat, High Fiber, Heart Healthy"
573,gewurztraminer white wine,gewurztraminer white wine is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,119.0,0.1,3.8,0.0,0.0,0.0,0.0,100 g,Medium,See recipe,None,94,"Low Fat, Low Carb, Heart Healthy"
574,burgundy red wine,burgundy red wine is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,172.0,0.1,7.4,0.0,0.0,0.0,0.0,100 g,Medium,See recipe,None,91,"Low Fat, Low Carb, Heart Healthy"
575,zinfandel red wine,zinfandel red wine is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,129.0,0.1,4.2,0.0,0.0,0.0,0.0,100 g,Medium,See recipe,None,94,"Low Fat, Low Carb, Heart Healthy"
576,muller thurgau white wine,muller thurgau white wine is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,112.0,0.1,5.2,0.0,13.3,0.0,0.0,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, High Fiber, Heart Healthy"
577,mouvedre red wine,mouvedre red wine is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,129.0,0.1,3.9,0.0,16.5,0.0,0.0,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, High Fiber, Heart Healthy"
578,table wine,table wine is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,123.0,0.1,4.0,0.0,0.0,1.2,0.087,100 g,Medium,See recipe,None,94,"Low Fat, Low Carb, Heart Healthy"
579,wine light,wine light is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,73.0,0.1,1.7,0.0,0.0,1.7,0.046,100 g,Medium,See recipe,None,96,"Low Fat, Low Carb, Heart Healthy"
580,white wine,white wine is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,121.0,0.1,3.8,0.0,0.0,1.4,0.098,100 g,Medium,See recipe,None,94,"Low Fat, Low Carb, Heart Healthy"
581,petite sirah red wine,petite sirah red wine is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,125.0,0.1,3.9,0.0,15.7,0.0,0.0,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, High Fiber, Heart Healthy"
582,non alcoholic wine,non alcoholic wine is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,2.0,0.1,0.3,0.0,0.0,0.3,0.095,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
583,pinot noir red wine,pinot noir red wine is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,121.0,0.1,3.4,0.0,0.0,0.0,0.0,100 g,Medium,See recipe,None,94,"Low Fat, Low Carb, Heart Healthy"
584,pinot gris grigio white wine,pinot gris grigio white wine is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,122.0,0.1,3.0,0.0,0.0,0.0,0.0,100 g,Medium,See recipe,None,94,"Low Fat, Low Carb, Heart Healthy"
585,riesling white wine,riesling white wine is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,118.0,0.1,5.5,0.0,0.0,0.0,0.0,100 g,Medium,See recipe,None,94,"Low Fat, Low Carb, Heart Healthy"
586,barbera red wine,barbera red wine is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,170.0,0.1,5.6,0.0,0.0,0.0,0.0,100 g,Medium,See recipe,None,92,"Low Fat, Low Carb, Heart Healthy"
587,lemberger red wine,lemberger red wine is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,118.0,0.1,3.6,0.0,15.0,0.0,0.0,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, High Fiber, Heart Healthy"
588,merlot red wine,merlot red wine is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,122.0,0.1,3.7,0.0,0.0,0.9,0.011,100 g,Medium,See recipe,None,94,"Low Fat, Low Carb, Heart Healthy"
589,sangiovese red wine,sangiovese red wine is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,126.0,0.1,3.9,0.0,0.0,0.0,0.0,100 g,Medium,See recipe,None,94,"Low Fat, Low Carb, Heart Healthy"
590,sauvignon blanc white wine,sauvignon blanc white wine is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,119.0,0.1,3.0,0.0,0.0,0.0,0.0,100 g,Medium,See recipe,None,94,"Low Fat, Low Carb, Heart Healthy"
591,syrah red wine,syrah red wine is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,122.0,0.1,3.8,0.0,0.0,0.0,0.0,100 g,Medium,See recipe,None,94,"Low Fat, Low Carb, Heart Healthy"
592,carignane red wine,carignane red wine is a lunch food suitable for weight gain.,Continental,Lunch,Vegan,Weight Gain,370.0,0.4,12.0,0.0,0.0,0.0,0.0,100 g,Medium,See recipe,None,82,"Low Fat, Low Carb"
593,pinot blanc white wine,pinot blanc white wine is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,119.0,0.1,2.9,0.0,0.0,0.0,0.0,100 g,Medium,See recipe,None,94,"Low Fat, Low Carb, Heart Healthy"
594,semillon white wine,semillon white wine is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,121.0,0.1,4.6,0.0,14.9,0.0,0.0,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, High Fiber, Heart Healthy"
595,dessert wine dry,dessert wine dry is a lunch food suitable for weight gain.,Continental,Lunch,Vegan,Weight Gain,760.0,1.0,58.4,0.0,76.5,5.5,0.0,100 g,Medium,See recipe,None,99,"Low Fat, High Fiber, Heart Healthy"
596,red wine,red wine is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,125.0,0.1,3.8,0.0,0.0,0.9,0.027,100 g,Medium,See recipe,None,94,"Low Fat, Low Carb, Heart Healthy"
597,cabernet sauvignon red wine,cabernet sauvignon red wine is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,166.0,0.1,5.2,0.0,0.0,0.0,0.0,100 g,Medium,See recipe,None,92,"Low Fat, Low Carb, Heart Healthy"
598,muscat white wine,muscat white wine is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,123.0,0.1,7.8,0.0,0.0,0.0,0.0,100 g,Medium,See recipe,None,94,"Low Fat, Low Carb, Heart Healthy"
599,cooking wine,cooking wine is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,2.0,0.028,0.3,0.0,0.0,0.09,0.002,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
600,chardonnay white wine,chardonnay white wine is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,168.0,0.1,4.3,0.0,0.0,1.9,0.027,100 g,Medium,See recipe,None,92,"Low Fat, Low Carb, Heart Healthy"
601,claret red wine,claret red wine is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,122.0,0.1,4.4,0.0,15.0,0.0,0.0,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, High Fiber, Heart Healthy"
602,rice sake,rice sake is a nutritious lunch option that can support maintain weight when included as part of a balanced diet.,Continental,Lunch,Vegan,Maintain Weight,197.0,0.7,7.4,0.0,0.0,0.0,0.046,100 g,Medium,Rice,None,91,"Low Fat, Low Carb, Heart Healthy"
603,fume blanc white wine,fume blanc white wine is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,121.0,0.1,3.3,0.0,15.4,0.0,0.0,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, High Fiber, Heart Healthy"
604,cabarnet franc red wine,cabarnet franc red wine is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,122.0,0.1,3.6,0.0,0.0,0.0,0.0,100 g,Medium,See recipe,None,94,"Low Fat, Low Carb, Heart Healthy"
605,chocolate frosting,chocolate frosting is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,81.0,0.2,13.0,3.6,0.2,11.8,0.025,100 g,Medium,See recipe,None,94,"Low Fat, Low Carb, Heart Healthy"
606,white sugar,white sugar is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,19.0,0.0,5.0,0.0,0.0,4.9,0.012,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
607,egg substitute,egg substitute is a nutritious lunch option that can support muscle gain when included as part of a balanced diet.,Continental,Lunch,Non-Veg,Muscle Gain,115.0,24.0,4.8,0.0,0.0,4.8,0.5,100 g,Medium,Egg,Eggs,99,"High Protein, Low Fat, Low Carb, Heart Healthy"
608,agave syrup,agave syrup is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,21.0,0.025,5.3,0.081,0.01,4.7,0.09,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
609,splenda sweetener,splenda sweetener is a lunch food suitable for maintain weight.,Continental,Lunch,Vegan,Maintain Weight,336.0,0.0,91.2,0.0,0.0,80.3,0.0,100 g,Medium,See recipe,None,83,Low Fat
610,vanilla extract,vanilla extract is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,12.0,0.0,0.5,0.069,0.0,0.5,0.061,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
611,egg yolk dried,egg yolk dried is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Non-Veg,Weight Loss,27.0,1.3,0.054,2.3,0.0,0.002,0.071,100 g,Medium,Egg,Eggs,98,"Low Fat, Low Carb, Heart Healthy"
612,granulated sugar,granulated sugar is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,16.0,0.0,4.2,0.0,0.0,4.2,0.019,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
613,baking chocolate,baking chocolate is a lunch food suitable for maintain weight.,Continental,Lunch,Vegan,Maintain Weight,145.0,3.7,8.7,15.2,4.8,0.3,0.049,100 g,Medium,See recipe,None,94,"Low Carb, Heart Healthy"
614,bakers yeast,bakers yeast is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,18.0,1.4,3.1,0.3,1.4,0.0,0.066,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
615,fondant,fondant is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,106.0,0.0,26.4,0.009,0.0,25.2,0.022,100 g,Medium,See recipe,None,95,"Low Fat, Heart Healthy"
616,brown sugar,brown sugar is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,16.0,0.024,4.1,0.0,0.0,4.1,0.094,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
617,white frosting dry,white frosting dry is a lunch food suitable for weight gain.,Continental,Lunch,Vegan,Weight Gain,768.0,4.8,196.4,0.0,0.0,0.0,0.5,100 g,Medium,See recipe,None,65,Low Fat
618,maple sugar,maple sugar is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,42.0,0.036,10.9,0.061,0.0,10.2,0.031,100 g,Medium,See recipe,None,98,"Low Fat, Low Carb, Heart Healthy"
619,fructose sweetener,fructose sweetener is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,15.0,0.0,4.2,0.0,0.0,3.9,0.013,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
620,saccharin sweetener,saccharin sweetener is a lunch food suitable for weight gain.,Continental,Lunch,Vegan,Weight Gain,360.0,0.9,89.1,0.0,0.0,85.2,0.4,100 g,Medium,See recipe,None,83,Low Fat
621,egg white raw,egg white raw is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Non-Veg,Weight Loss,17.0,3.6,0.2,0.063,0.0,0.2,0.038,100 g,Medium,Egg,Eggs,99,"Low Fat, Low Carb, Heart Healthy"
622,turbinado sugar,turbinado sugar is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,18.0,0.0,4.6,0.0,0.0,4.6,0.008,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
623,vanilla frosting,vanilla frosting is a lunch food suitable for weight gain.,Continental,Lunch,Vegan,Weight Gain,1931.0,0.0,313.7,75.0,0.0,291.5,0.9,100 g,Medium,See recipe,None,40,Balanced Meal
624,aspartame sweetener,aspartame sweetener is a lunch food suitable for weight gain.,Continental,Lunch,Vegan,Weight Gain,365.0,2.2,89.1,0.0,0.0,80.7,0.0,100 g,Medium,See recipe,None,84,Low Fat
625,egg raw,egg raw is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Non-Veg,Weight Loss,80.0,7.0,0.4,5.3,0.0,0.2,0.08,100 g,Medium,Egg,Eggs,98,"Low Carb, Heart Healthy"
626,pineapple topping,pineapple topping is a lunch food suitable for weight gain.,Continental,Lunch,Vegan,Weight Gain,860.0,0.3,225.8,0.3,1.4,71.4,0.1,100 g,Medium,See recipe,None,59,Low Fat
627,egg white dried,egg white dried is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Non-Veg,Weight Loss,26.0,5.8,0.3,0.087,0.0,0.0,0.052,100 g,Medium,Egg,Eggs,99,"Low Fat, Low Carb, Heart Healthy"
628,egg yolk raw,egg yolk raw is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Non-Veg,Weight Loss,55.0,2.7,0.6,4.5,0.0,0.08,0.006,100 g,Medium,Egg,Eggs,97,"Low Fat, Low Carb, Heart Healthy"
629,baking soda,baking soda is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,0.0,0.0,0.0,0.0,0.0,0.0,1.3,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
630,egg dried,egg dried is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Non-Veg,Weight Loss,30.0,2.4,0.047,2.2,0.0,0.05,0.06,100 g,Medium,Egg,Eggs,99,"Low Fat, Low Carb, Heart Healthy"
631,strawberry topping,strawberry topping is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,53.0,0.014,13.9,0.096,0.1,5.7,0.099,100 g,Medium,See recipe,None,97,"Low Fat, Low Carb, Heart Healthy"
632,bakers yeast dry,bakers yeast dry is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,13.0,1.6,1.6,0.3,1.1,0.0,0.081,100 g,Medium,See recipe,None,99,"Low Fat, Low Carb, Heart Healthy"
633,almond paste,almond paste is a nutritious lunch option that can support weight gain when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Gain,1040.0,20.4,108.5,63.0,10.9,82.3,0.051,100 g,Medium,See recipe,Nuts,43,"High Protein, High Fiber"
634,cream of tartar,cream of tartar is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Veg,Weight Loss,8.0,0.0,1.8,0.0,0.01,0.0,0.009,100 g,Medium,See recipe,Milk,99,"Low Fat, Low Carb, Heart Healthy"
